Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Geomagnetic latitude (deg),Magnetic local time,Solar zenith angle (deg),"Colours, naked eye","Colours, camera",Special forms
2024-05-10 21:30:00+00:00,6.4,53.0,49.3,22.5,104.4,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11 01:20:00+00:00,14.4,49.9,45.8,2.6,105.3,purple/pink/magenta,purple/pink/magenta,
2024-05-10 21:00:00+00:00,4.5,52.3,48.5,21.8,101.8,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:45:00+00:00,5.4,51.7,47.8,21.6,101.1,purple/pink/magenta,purple/pink/magenta,
2024-05-11 22:28:00+00:00,5.9,51.0,47.0,23.3,109.4,"green,purple/pink/magenta","green,purple/pink/magenta",Dunes
2024-05-10 20:30:00+00:00,4.6,51.9,48.0,21.3,99.1,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,4.6,52.1,48.3,21.3,99.0,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-10 00:30:00+00:00,4.1,51.6,47.7,1.2,109.8,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 22:30:00+00:00,4.6,52.6,48.9,23.3,107.7,"red,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,6.1,52.5,48.8,21.4,99.3,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 21:00:00+00:00,4.3,51.8,48.0,21.8,102.1,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:20:00+00:00,4.2,52.1,48.3,21.2,97.7,"green,blue,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 23:30:00+00:00,6.1,52.8,49.1,0.4,109.3,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:45:00+00:00,5.0,52.8,49.1,23.6,108.4,"red,green","red,green,blue",
2024-05-10 21:15:00+00:00,6.2,52.3,48.5,22.2,103.8,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:31:00+00:00,5.5,51.6,47.7,23.4,109.1,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 21:50:00+00:00,5.3,51.7,47.7,22.7,106.7,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 21:17:00+00:00,4.2,51.8,47.9,22.1,103.7,purple/pink/magenta,"blue,purple/pink/magenta",
2024-05-11 21:30:00+00:00,6.0,53.1,49.4,22.4,104.0,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,4.0,51.6,47.7,21.3,99.0,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-12 23:20:00+00:00,6.1,53.1,49.5,0.2,108.4,,"green,blue,purple/pink/magenta",
2024-05-10 21:00:00+00:00,4.8,52.2,48.4,21.9,102.0,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 23:45:00+00:00,4.8,52.6,48.9,0.5,109.4,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",STEVE
2024-05-10 21:22:00+00:00,6.0,50.9,46.8,22.3,105.5,purple/pink/magenta,purple/pink/magenta,STEVE
2024-05-10 00:00:00+00:00,3.8,51.8,47.9,0.7,110.4,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:31:00+00:00,-5.9,52.1,48.6,22.8,106.0,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:17:00+00:00,5.4,51.3,47.3,23.1,108.7,purple/pink/magenta,"green,blue,purple/pink/magenta",
2024-05-10 21:00:00+00:00,4.5,52.3,48.5,21.8,101.8,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta","Dunes,STEVE"
2024-05-09 22:40:00+00:00,9.6,55.7,52.4,23.8,106.2,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:20:00+00:00,5.6,51.7,47.8,21.2,98.6,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 21:30:00+00:00,4.6,52.6,48.9,22.3,104.2,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11 21:45:00+00:00,5.9,52.5,48.8,22.7,105.5,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-09 23:30:00+00:00,5.7,52.0,48.1,0.3,110.3,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 22:00:00+00:00,5.2,53.0,49.4,22.9,106.1,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:30:00+00:00,5.4,53.4,49.8,21.4,98.4,purple/pink/magenta,"red,green,blue,purple/pink/magenta",
2024-05-11 20:17:00+00:00,6.0,51.3,47.3,21.2,98.5,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:15:00+00:00,4.4,52.2,48.4,23.1,107.5,"green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 00:30:00+00:00,5.0,52.6,48.9,1.3,108.5,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:49:00+00:00,6.3,52.8,49.1,21.8,101.1,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
